from,to,from_id,to_id,outflow 17-24,outflow 24-may1,above normal_0,outflow 17-24,outflow 24-may1,above normal_5,outflow 17-24,outflow 24-may1,above normal_10,outflow 17-24,outflow 24-may1,above normal_15,outflow 17-24,outflow 24-may1,above normal_20
Arghakhanchi,Parsa,1,52,22,33,11,22,33,11,22,33,11,22,33,11,22,33,11
Arghakhanchi,Pyuthan,1,53,1504,2387,883,1317,2060,743,1030,1606,576,669,1069,400,533,827,294
Arghakhanchi,Ramechhap,1,54,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3
Arghakhanchi,Rasuwa,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arghakhanchi,Rautahat,1,56,19,18,-1,19,18,-1,19,18,-1,19,18,-1,19,18,-1
Arghakhanchi,Rolpa,1,57,80,114,34,80,114,34,80,114,34,80,114,34,80,114,34
Arghakhanchi,Rukum,1,58,9,17,8,9,17,8,9,17,8,9,17,8,9,17,8
Arghakhanchi,Rupandehi,1,59,1415,2169,754,1415,2169,754,1415,2169,754,1415,2169,754,1389,2129,740
Arghakhanchi,Salyan,1,60,28,41,13,28,41,13,28,41,13,28,41,13,28,41,13
Arghakhanchi,Sankhuwasabha,1,61,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2
Arghakhanchi,Saptari,1,62,11,24,13,11,24,13,11,24,13,11,24,13,11,24,13
Arghakhanchi,Sarlahi,1,63,17,28,11,17,28,11,17,28,11,17,28,11,17,28,11
Arghakhanchi,Sindhuli,1,64,5,18,13,5,18,13,5,18,13,5,18,13,5,18,13
Arghakhanchi,Sindhupalchok,1,65,4,9,5,4,9,5,4,9,5,4,9,5,4,9,5
Arghakhanchi,Siraha,1,66,11,12,1,11,12,1,11,12,1,11,12,1,11,12,1
Arghakhanchi,Solukhumbu,1,67,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
Arghakhanchi,Sunsari,1,68,25,37,12,25,37,12,25,37,12,25,37,12,25,37,12
Arghakhanchi,Surkhet,1,69,42,59,17,42,59,17,42,59,17,42,59,17,42,59,17
Arghakhanchi,Syangja,1,70,79,127,48,79,127,48,79,127,48,79,127,48,74,120,46
Arghakhanchi,Tanahu,1,71,43,64,21,43,64,21,43,64,21,43,64,21,43,64,21
Arghakhanchi,Taplejung,1,72,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
Arghakhanchi,Terhathum,1,73,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
Arghakhanchi,Udayapur,1,74,8,23,15,8,23,15,8,23,15,8,23,15,8,23,15
Baglung,Achham,2,0,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3
Baglung,Arghakhanchi,2,1,71,120,49,71,120,49,71,120,49,71,120,49,71,120,49
Baglung,Baglung,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baglung,Baitadi,2,3,1,5,4,1,5,4,1,5,4,1,5,4,1,5,4
Baglung,Bajhang,2,4,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
Baglung,Bajura,2,5,1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,0,-1
Baglung,Banke,2,6,41,60,19,41,60,19,41,60,19,41,60,19,41,60,19
Baglung,Bara,2,7,47,90,43,47,90,43,47,90,43,47,90,43,47,90,43
Baglung,Bardiya,2,8,51,61,10,51,61,10,51,61,10,51,61,10,51,61,10
